Containertyp,Stadtteil,Standort,öffentlich,Wertstoffhof,Unterflurstandort,Sorten,Latitude,Longitude
Glascontainer,48167 Münster - Angelmodde,Homannstraße/Zum Erlenbusch 100,ja,nein,nein,weiß/grün/braun,51.919628,7.681194
Glascontainer,48167 Münster - Angelmodde,Schlesienstraße,,,,,51.918465,7.677483
Glascontainer,48167 Münster - Angelmodde,Schlesienstraße/Ostpreußenstraße,ja,nein,nein,weiß/grün/braun,51.918427,7.677505
Glascontainer,48167 Münster - Angelmodde,Theodor-Heuss-Straße 10,ja,nein,nein,weiß/grün/braun,51.914455,7.692838
Glascontainer,48167 Münster - Angelmodde,Vogelrohrsheide (vor Haus Nr. 138),ja,nein,nein,"grün/braun, weiß",51.914555,7.684626
Glascontainer,48153 Münster - Berg Fidel,Am Berg Fidel (Parkpl. Preußen-Stadion),ja,nein,nein,"bunt, weiß",51.931835,7.625546
Glascontainer,48153 Münster - Berg Fidel,Am Berg Fidel (ggü. Haus Nr. 62),ja,nein,nein,"bunt, weiß",51.926998,7.624035
Glascontainer,48165 Münster - Berg Fidel,Elsa-Brändström-Weg/Vennheideweg,ja,nein,nein,"bunt, weiß",51.921417,7.621697
Glascontainer,48153 Münster - Berg Fidel,Hogenbergstr. vor Haus Nr. 21-27 Einkaufszentrum,ja,nein,nein,"bunt, weiß",51.927155,7.619977
Glascontainer,48153 Münster - Berg Fidel,Lechterstraße 6 (Bürgersteig),ja,nein,nein,"bunt, weiß",51.926044,7.617250
Glascontainer,48153 Münster - Berg Fidel,Pankokstraße (Haus Simeon),ja,nein,nein,"bunt, weiß",51.926411,7.622861
Glascontainer,48153 Münster - Berg Fidel,Ter-Borch-Straße (Parkplatz),ja,nein,nein,"bunt, weiß",51.925774,7.620609
Glascontainer,48147 Münster - Centrum,Am Kreuztor (REWE-Markt),ja,nein,nein,"bunt, weiß",51.968212,7.622635
Glascontainer,48155 Münster - Centrum,Bremer Platz (gegenüber Bahnhofseingang),ja,nein,ja,"bunt, weiß",51.956196,7.637667
Glascontainer,48149 Münster - Centrum,Einsteinstraße/Hittorfstraße,ja,nein,nein,"bunt, weiß",51.965752,7.604761
Glascontainer,48153 Münster - Centrum,Friedrich-Ebert-Straße/Annenstraße,ja,nein,nein,"bunt, weiß",51.950481,7.631752
Glascontainer,48151 Münster - Centrum,Geiststraße 10,ja,nein,nein,"bunt, weiß",51.951641,7.620634
Glascontainer,48147 Münster - Centrum,Goldstraße/Piusallee,ja,nein,nein,"bunt, weiß",51.971039,7.640486
Glascontainer,48149 Münster - Centrum,"Grevener Straße, Höhe Nr. 61c",ja,nein,nein,"bunt, weiß",51.971848,7.612333
Glascontainer,48155 Münster - Centrum,Hansaring (REWE-Markt),ja,nein,nein,"bunt, weiß",51.953514,7.643968
Glascontainer,48151 Münster - Centrum,Hermannstraße/Norbertstraße,ja,nein,ja,"bunt, weiß",51.953445,7.622813
Glascontainer,48149 Münster - Centrum,"Hüfferstr. (auf Parkstr. vor Haus Nr. 54, Möserweg)",ja,nein,nein,"bunt, weiß",51.960754,7.605673
Glascontainer,48143 Münster - Centrum,Katthagen/Rosenplatz (Unterflur),ja,nein,ja,"bunt, weiß",51.965084,7.622202
Glascontainer,48151 Münster - Centrum,Kolde-Ring,ja,nein,nein,"bunt, weiß",51.949726,7.613043
Glascontainer,48143 Münster - Centrum,Korduanenstraße (Hörster Parkplatz),ja,nein,nein,"bunt, weiß",51.964432,7.631551
Glascontainer,48143 Münster - Centrum,"Königsstr. (Parkplatz vor Haus Nr. 46, AOK)",ja,nein,ja,"bunt, weiß",51.958977,7.625776
Glascontainer,48153 Münster - Centrum,Leostraße/Hafenstraße (Busbahnhof),ja,nein,nein,"bunt, weiß",51.953434,7.632208
Glascontainer,48147 Münster - Centrum,Maximilianstraße/Zuhornstraße,ja,nein,nein,"bunt, weiß",51.970196,7.626627
Glascontainer,48143 Münster - Centrum,Mühlenstraße/Am Stadtgraben,ja,nein,nein,"bunt, weiß",51.958794,7.619821
Glascontainer,48143 Münster - Centrum,Münzstraße/Kalkmarkt (gegenüber),ja,nein,nein,"bunt, weiß",51.966702,7.617672
Glascontainer,48149 Münster - Centrum,Nordplatz,ja,nein,nein,"bunt, weiß",51.971889,7.623393
Glascontainer,48145 Münster - Centrum,"Oststr. (ggü. Fernmeldeamt, Durchgang)",ja,nein,nein,"bunt, weiß",51.962105,7.645330
Glascontainer,48151 Münster - Centrum,Scharnhorststraße (Hoppendamm) Unterflur,ja,nein,ja,"bunt, weiß",51.953228,7.614333
Glascontainer,48151 Münster - Centrum,Scharnhorststraße vor Haus Nr. 100,ja,nein,nein,"bunt, weiß",51.950066,7.607161
Glascontainer,48149 Münster - Centrum,Schlossplatz (ggü. Frauenstraße),ja,nein,nein,"bunt, weiß",51.963127,7.617717
Glascontainer,48143 Münster - Centrum,Servatiiplatz/Wolbecker Straße,ja,nein,nein,"bunt, weiß",51.959908,7.635615
Glascontainer,48149 Münster - Centrum,Steinfurter Str. 67-81 (Studentenw.),nein,nein,nein,"bunt, weiß",51.972324,7.606580
Glascontainer,48149 Münster - Centrum,Steinfurter Straße 23-25 (REWE-Markt),ja,nein,nein,"bunt, weiß",51.969162,7.612375
Glascontainer,48149 Münster - Centrum,Studtplatz/Grimmstraße  Unterflur,ja,nein,ja,"bunt, weiß",51.969345,7.618198
Glascontainer,48153 Münster - Centrum,Südstraße/Hafenstraße,ja,nein,nein,"bunt, weiß",51.954987,7.627707
Glascontainer,48143 Münster - Centrum,Universitätsstraße/Bispinghof,ja,nein,nein,"bunt, weiß",51.960754,7.620446
Glascontainer,48147 Münster - Centrum,Wasserstraße/Kanalstraße,ja,nein,nein,"bunt, weiß",51.966888,7.630901
Glascontainer,48149 Münster - Centrum,Wilhelmstraße/Orlèans-Ring,ja,nein,nein,"bunt, weiß",51.968712,7.603550
Glascontainer,48159 Münster - Centrum,York-Ring (Hauptfeuerwache),ja,nein,nein,"bunt, weiß",51.974380,7.610001
Glascontainer,48157 Münster - Coerde,An der Kleimannbrücke 25 (Kanal),ja,nein,nein,"bunt, weiß",51.990982,7.660605
Glascontainer,48157 Münster - Coerde,An der Kleinannbrücke/August-Horch-Straße,ja,nein,nein,"bunt, weiß",51.995888,7.662595
Glascontainer,48157 Münster - Coerde,An der Meerwiese,ja,nein,nein,"bunt, weiß",51.987568,7.649341
Glascontainer,48157 Münster - Coerde,Dachsleite/Marienburgstraße,ja,nein,nein,"bunt, weiß",51.997517,7.648975
Glascontainer,48157 Münster - Coerde,Görlitzer Straße (zw. Haus Nr. 34-58),ja,nein,nein,"bunt, weiß",51.991726,7.642728
Glascontainer,48157 Münster - Coerde,Hamannplatz,ja,nein,nein,"bunt, weiß",51.993423,7.646639
Glascontainer,48157 Münster - Coerde,Hessenbusch ggü. 184 (Wagenburg),ja,nein,nein,weiß/grün/braun,52.010876,7.665422
Glascontainer,48157 Münster - Coerde,Josef-König-Str./Nevinghoff / Arbeitsamt,ja,nein,nein,"bunt, weiß",51.984341,7.633314
Glascontainer,48157 Münster - Coerde,Nerzweg gegenüber Haus Nr. 32,ja,nein,nein,"bunt, weiß",51.999153,7.640459
Glascontainer,48157 Münster - Coerde,Schneidemühler Str. /Königsberger Str.,ja,nein,nein,"bunt, weiß",51.993668,7.650028
Glascontainer,48157 Münster - Coerde,Zum Heidehof 80 (Recyclinghof Coerde),ja,ja,nein,"bunt, weiß",52.010937,7.652406
Glascontainer,48153 Münster - Geist,Augustastraße/Friedrich-Ebert-Straße,ja,nein,nein,"bunt, weiß",51.948067,7.630926
Glascontainer,48163 Münster - Geist,Buldernweg/Drensteinfurtweg,ja,nein,nein,"bunt, weiß",51.926701,7.601066
Glascontainer,48153 Münster - Geist,Düesbergweg (Maria-Hötte-Stift),ja,nein,nein,"bunt, weiß",51.931030,7.613087
Glascontainer,48151 Münster - Geist,Elsässer Straße/Metzer Straße,ja,nein,nein,"bunt, weiß",51.939926,7.620346
Glascontainer,48153 Münster - Geist,"Friedrich-Ebert-Straße (E-Center, ehem. Toom-Markt)",,,,,51.943275,7.630899
Glascontainer,48163 Münster - Geist,Geringhoffstraße (HIT-Markt),ja,nein,nein,"bunt, weiß",51.929947,7.600092
Glascontainer,48153 Münster - Geist,Herdingstraße/Travelmannstraße,ja,nein,nein,"bunt, weiß",51.946091,7.628080
Glascontainer,48151 Münster - Geist,Kappenberger Damm gegenüber Haus Nr. 88,ja,nein,nein,"bunt, weiß",51.935253,7.608469
Glascontainer,48153 Münster - Geist,Kriegerweg 41 (Bahnunterführung),ja,nein,nein,"bunt, weiß",51.924641,7.611925
Glascontainer,48153 Münster - Geist,Scheibenstraße (vor Haus Nr. 115),ja,nein,nein,"bunt, weiß",51.938881,7.627559
Glascontainer,48153 Münster - Geist,Scheibenstraße / Friedrich-Ebert-Straße,ja,nein,nein,"bunt, weiß",51.942413,7.625407
Glascontainer,48151 Münster - Geist,Sentmaringer Weg/Geiststr./Marktplatz,ja,nein,nein,"bunt, weiß",51.945499,7.621973
Glascontainer,48153 Münster - Geist,St.-Josef-Kirchplatz (Hammer Straße/ Dahlweg),ja,nein,nein,"bunt, weiß",51.949680,7.625407
Glascontainer,48163 Münster - Geist,Werneweg/Kappenberger Damm,ja,nein,nein,"bunt, weiß",51.924240,7.603225
Glascontainer,48151 Münster - Geist,Wörthstraße 4,,,,,51.944141,7.622934
Glascontainer,48157 Münster - Gelmer,Westerheide (Schule),ja,nein,nein,weiß/grün/braun,52.028553,7.675924
Glascontainer,48157 Münster - Gelmer,Zur Eckernheide (Sportplatz),ja,nein,nein,"grün/braun, weiß",52.025928,7.674493
Glascontainer,48161 Münster - Gievenbeck,Arnheimweg (Parkplatz Sportgelände),ja,nein,nein,"bunt, weiß",51.965122,7.574830
Glascontainer,48161 Münster - Gievenbeck,Borghorstweg/Enschedeweg/Ahausweg,ja,nein,nein,"bunt, weiß",51.968826,7.572401
Glascontainer,48161 Münster - Gievenbeck,Gescherweg (Haus Nr. 70-84),ja,nein,nein,"bunt, weiß",51.975597,7.574424
Glascontainer,48161 Münster - Gievenbeck,Gievenbecker Reihe (am Sportplatz),ja,nein,nein,"bunt, weiß",51.965359,7.568089
Glascontainer,48161 Münster - Gievenbeck,Heekweg 15 (Sparkasse),ja,nein,nein,"bunt, weiß",51.972759,7.564210
Glascontainer,48161 Münster - Gievenbeck,Hensenstraße (vor Haus Nr. 190),ja,nein,nein,"bunt, weiß",51.974056,7.570235
Glascontainer,48161 Münster - Gievenbeck,Horstmarer Landweg (Haus Nr. 250-258),ja,nein,nein,"bunt, weiß",51.976212,7.585530
Glascontainer,48161 Münster - Gievenbeck,Horstmarer Landweg (Wendehammer) vor Uni Sportplatz,ja,nein,nein,"bunt, weiß",51.970104,7.602499
Glascontainer,48161 Münster - Gievenbeck,Horstmarer Landweg bei Haus Nr. 92,ja,nein,nein,"bunt, weiß",51.971432,7.596370
Glascontainer,48161 Münster - Gievenbeck,RATIO Verbrauchermarkt / Roxeler Str. 416-420,ja,nein,nein,"bunt, weiß",51.957581,7.571720
Glascontainer,48161 Münster - Gievenbeck,Recyclinghof Gievenbeck,ja,ja,nein,"bunt, weiß",51.960854,7.570661
Glascontainer,48161 Münster - Gievenbeck,Rüschhausweg/Asbeckweg/Bentheimweg,ja,nein,nein,"bunt, weiß",51.970848,7.571204
Glascontainer,48161 Münster - Gievenbeck,Rüschhausweg/Toppheideweg (Coop),ja,nein,nein,"bunt, weiß",51.973320,7.565579
Glascontainer,48161 Münster - Gievenbeck,Stadtlohnweg gegenü. Haus Nr. 1-17,ja,nein,nein,"bunt, weiß",51.973133,7.560686
Glascontainer,48161 Münster - Gievenbeck,Twenteweg (Haus Nr. 1),ja,nein,nein,"bunt, weiß",51.972908,7.572505
Glascontainer,48161 Münster - Gievenbeck,Von-Esmarch-Str. (vor Haus Nr. 168),ja,nein,nein,"bunt, weiß",51.966751,7.581358
Glascontainer,48161 Münster - Gievenbeck,Von-Esmarch-Str./Schreiberstraße,ja,nein,nein,"bunt, weiß",51.965172,7.593898
Glascontainer,48161 Münster - Gievenbeck,Wickenkamp/Dieckmannstraße,ja,nein,nein,"bunt, weiß",51.968044,7.562038
Glascontainer,48167 Münster - Gremmendorf,Albersloher Weg 450 (Einfahrt York-Karserne),ja,nein,nein,"grün/braun, grün, weiß, weiß/grün/braun",51.926556,7.669054
Glascontainer,48167 Münster - Gremmendorf,Angelmodder Weg (ggü. Haus Nr. 80) / Agathastr.,ja,nein,nein,weiß/grün/braun,51.928375,7.687179
Glascontainer,48167 Münster - Gremmendorf,Biederlackweg gegenü. Haus Nr. 71,ja,nein,nein,weiß/grün/braun,51.930607,7.654998
Glascontainer,48155 Münster - Gremmendorf,Boelckeweg (am Bahndamm),ja,nein,nein,"grün/braun, weiß",51.941086,7.651419
Glascontainer,48167 Münster - Gremmendorf,Erbdrostenweg/Anton-Knubel-Weg,ja,nein,nein,weiß/grün/braun,51.931797,7.666986
Glascontainer,48167 Münster - Gremmendorf,Frankenweg,ja,nein,nein,weiß/grün/braun,51.920677,7.668984
Glascontainer,48155 Münster - Gremmendorf,Fridtjof-Nansen-Weg 10,ja,nein,nein,weiß/grün/braun,51.933544,7.655370
Glascontainer,48167 Münster - Gremmendorf,Gremmendorfer Weg 34 (nähe Bahnübergang),ja,nein,nein,weiß/grün/braun,51.929703,7.672285
Glascontainer,48167 Münster - Gremmendorf,Gremmendorfer Weg/ Böddingheideweg (ehem. Zwi-Schulmann-Weg),ja,nein,nein,"grün/braun, weiß",51.932178,7.681217
Glascontainer,48155 Münster - Gremmendorf,Loddenheide 2 / Egbert-Snoek-Str. Marktkauf (Parkplatz),ja,nein,nein,"bunt, weiß",51.938759,7.645896
Glascontainer,48155 Münster - Gremmendorf,Recyclinghof Eulerstraße,ja,ja,nein,"bunt, weiß",51.938850,7.641551
Glascontainer,48155 Münster - Hafen,Am Hawerkamp 39,ja,nein,nein,"bunt, weiß",51.944805,7.638512
Glascontainer,48157 Münster - Handorf,An den Eichen (Parkstreifen),ja,nein,nein,"grün/braun, weiß",52.002293,7.715920
Glascontainer,48157 Münster - Handorf,Heriburgstraße (Parkplatz Hallenbad),ja,nein,nein,"grün/braun, weiß",51.989536,7.705504
Glascontainer,48157 Münster - Handorf,Hobbeltstraße/Handorfer Straße,ja,nein,nein,"grün/braun, weiß",51.981728,7.704549
Glascontainer,48157 Münster - Handorf,Hugo-Pottebaum-Platz,ja,nein,nein,"grün/braun, grün, weiß",51.987602,7.697667
