Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
205,Glascontainer,48163 Münster - Mecklenbeck,Schürbusch gegenüber Haus Nr. 19,,51.929585,7.584455,2023-01-23
206,Glascontainer,48161 Münster - Nienberge,Am Baumberger Hof/Hägerstraße,,52.001541,7.557883,2023-01-23
207,Glascontainer,48161 Münster - Nienberge,Feldstiege (Parkpl. vor Sportzentrum),,51.999985,7.549464,2023-01-23
208,Glascontainer,48161 Münster - Nienberge,Hermann-Hesse-Str./Hülshoffstraße,,51.995483,7.553368,2023-01-23
209,Glascontainer,48161 Münster - Nienberge,Kirmstr. gegenüber Haus Nr. 23,,51.998016,7.558968,2023-01-23
210,Glascontainer,48161 Münster - Nienberge,Recyclinghof Waltruper Weg,,51.993042,7.543488,2023-01-23
211,Glascontainer,48161 Münster - Nienberge,Schmitthausweg 4,,52.022331,7.561598,2023-01-23
212,Glascontainer,48161 Münster - Nienberge,Sebastianstraße/ Plettendorfstr. (Ev. Kirche),,51.996719,7.556325,2023-01-23
213,Glascontainer,48161 Münster - Nienberge,Waltruper Weg,,51.994022,7.547929,2023-01-23
214,Glascontainer,48161 Münster - Roxel,Autobahnraststätte Ost,,51.941013,7.551159,2023-01-23
215,Glascontainer,48161 Münster - Roxel,Autobahnraststätte West,,51.945625,7.548377,2023-01-23
216,Glascontainer,48161 Münster - Roxel,Dorffeldstraße (ggü. Haus Nr. 32),,51.950661,7.537469,2023-01-23
217,Glascontainer,48161 Münster - Roxel,Pienersallee (gegenü. Haus Nr. 26),,51.951305,7.530418,2023-01-23
218,Glascontainer,48161 Münster - Roxel,"Recyclinghof Roxel, Nottulner Landweg",,51.947376,7.535186,2023-01-23
219,Glascontainer,48161 Münster - Roxel,Schelmenstiege (Parkpl. vor der BVS),,51.954731,7.541640,2023-01-23
220,Glascontainer,48161 Münster - Roxel,Schulte-Hermann-Str. (Zufahrt z. Tiefgarage),,51.953308,7.533664,2023-01-23
221,Glascontainer,48161 Münster - Roxel,Tilbecker Straße (Parkpl. Hallenbad),,51.954082,7.527064,2023-01-23
222,Glascontainer,48161 Münster - Roxel,Wenningweg (neben dem Klärwerk),,51.949280,7.526384,2023-01-23
223,Glascontainer,48149 Münster - Sentrup,Busso-Peus-Straße,,51.968987,7.588885,2023-01-23
224,Glascontainer,48149 Münster - Sentrup,Rudolf-Harbig-Weg,,51.975273,7.591884,2023-01-23
225,Glascontainer,48149 Münster - Sentrup,"Rudolf-Harbig-Weg (Studentenw., 26-46)",,51.972748,7.594686,2023-01-23
