"X";"Y";"LFDNR";"NAME";"URL";"SchoolType"
3403364;5759621;105;"Overberg-Kolleg, Weiterbildungskolleg des Bistums Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/105.html";"Weiterbildungskolleg"
3406917;5758927;23;"Overbergschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/23.html";"Grundschule"
3404173;5764057;50;"Papst-Johannes-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/50.html";"Förderschule"
3405666;5761119;84;"Pascal-Gymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/84.html";"Gymnasium"
3406872;5753372;2;"Paul-Gerhardt-Schule Hiltrup";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/2.html";"Grundschule"
3404774;5763658;13;"Paul-Schneider-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/13.html";"Grundschule"
3402439;5756385;1;"Peter-Wust-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/1.html";"Grundschule"
3409197;5759655;22;"Pleisterschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/22.html";"Grundschule"
3407575;5760700;12;"Pötterhoekschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/12.html";"Grundschule"
3404872;5755419;58;"PRIMUS-Schule (Grundstufe)";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/58.html";"PRIMUS-Schule"
3405310;5757048;124;"PRIMUS-Schule (Stufe der Lernorte)";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/124.html";"PRIMUS-Schule"
3406468;5760094;83;"Ratsgymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/83.html";"Gymnasium"
3405275;5760899;68;"Realschule im Kreuzviertel";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/68.html";"Realschule"
3411946;5754161;69;"Realschule Wolbeck";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/69.html";"Realschule"
