LfdNr;Objektname;Objekttyp;Lat;Lon;Objekttyp2;ObjektID;BezirkID;ObjektID2;PlatteBezeichnung;PlatteBaujahr;PlatteMaterial;PlatteID
87;SP HANSES-KETTELER-STRASSE;Spielplatz;51.90408273622195;7.650500015671857;ABC-1: ABC-Bereich mit Ballspielangebot;29605;20;29605;Tischtennisplatte;;Beton;20 29605 SP HANSES-KETTELER-STRASSE
88;SP HÖLDERLINWEG;Spielplatz;51.90013826738865;7.62908272596569;BC-0: BC-Bereich ohne Ballspielangebot;29704;20;29704;Tischtennisplatte;;Beton;20 29704 SP HÖLDERLINWEG
89;SP MALTESERSTRASSE;Spielplatz;51.8971905219838;7.635301830945582;ABC-1: ABC-Bereich mit Ballspielangebot;29705;20;29705;Tischtennisplatte;;Beton;20 29705 SP MALTESERSTRASSE
90;SP AN DER ALTEN KIRCHE;Spielplatz;51.905054495975946;7.6323211815871534;A-1: A-Bereich mit Ballspielangebot;29709;20;29709;Tischtennisplatte (links);;Beton;20 29709 SP AN DER ALTEN KIRCHE
91;SP LANGE KUHLE;Spielplatz;51.88433269604511;7.6117456618259975;A-1: A-Bereich mit Ballspielangebot;29801;20;29801;Tischtennisplatte;;Beton;20 29801 SP LANGE KUHLE
92;SP ALTE FURT;Spielplatz;51.88439857915087;7.606926944998162;BC-0: BC-Bereich ohne Ballspielangebot;29804;20;29804;Tischtennisplatte (Fahrradständer);;Beton;20 29804 SP ALTE FURT
93;SP ALTE FURT;Spielplatz;51.88439857915087;7.606926944998162;BC-0: BC-Bereich ohne Ballspielangebot;29804;20;29804;Tischtennisplatte (Gebäude);;Beton;20 29804 SP ALTE FURT
94;SP ARNIKAWEG;Spielplatz;51.88213500703422;7.60371937882194;BC-0: BC-Bereich ohne Ballspielangebot;29805;20;29805;Tischtennisplatte;;Beton;20 29805 SP ARNIKAWEG
95;HERMANN-SCHULE;Schule;51.944911064498434;7.626344302645134;Grundschule;35;20;63301;Tischtennisplatte;;Beton;20 63301 HERMANN-SCHULE, DAHLWEG 66
96;HERMANN-SCHULE;Schule;51.944911064498434;7.626344302645134;Grundschule;35;20;63301;Tischtennisplatte;;Beton;20 63301 HERMANN-SCHULE, DAHLWEG 66
97;GOTTFRIED-VON-CAPPENBERG-SCHULE;Spielplatz;51.93374575129137;7.611614710697902;BC-0: BC-Bereich ohne Ballspielangebot;23408;20;63401;Tischtennisplatte (vorne);;Beton;20 63401 GOTTFRIED-VON-CAPPENBERG-SCHULE, GLATZER WEG 9
98;GOTTFRIED-VON-CAPPENBERG-SCHULE;Spielplatz;51.93374575129137;7.611614710697902;BC-0: BC-Bereich ohne Ballspielangebot;23408;20;63401;Tischtennisplatte (hinten);;Beton;20 63401 GOTTFRIED-VON-CAPPENBERG-SCHULE, GLATZER WEG 9
99;ERNA-DE-VRIES-SCHULE;Schule;51.93478165882587;7.6232799417329575;Realschule;74;20;63402;Tischtennisplatte (links);;Beton;20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17
100;ERNA-DE-VRIES-SCHULE;Schule;51.93478165882587;7.6232799417329575;Realschule;74;20;63402;Tischtennisplatte (rechts);;Beton;20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17
101;ERNA-DE-VRIES-SCHULE;Schule;51.93478165882587;7.6232799417329575;Realschule;74;20;63402;Tischtennisplatte (vorne);;Beton;20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17
102;ERNA-DE-VRIES-SCHULE;Schule;51.93478165882587;7.6232799417329575;Realschule;74;20;63402;Tischtennisplatte (hinten);;Beton;20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17
103;PETER-WUST-SCHULE;Schule;51.93287130176683;7.5804595917113735;Grundschule;1;20;65401;Tischtennisplatte rund;;Beton;20 65401 PETER-WUST-SCHULE, DINGBÄNGERWEG 80
104;PETER-WUST-SCHULE;Schule;51.93287130176683;7.5804595917113735;Grundschule;1;20;65401;Tischtennisplatte;;Beton;20 65401 PETER-WUST-SCHULE, DINGBÄNGERWEG 80
105;PETER-WUST-SCHULE;Schule;51.93287130176683;7.5804595917113735;Grundschule;1;20;65401;Tischtennisplatte (Schulhof);;Beton;20 65401 PETER-WUST-SCHULE, DINGBÄNGERWEG 80
106;LUDGERUSSCHULE ALBACHTEN;Schule;51.92300355264066;7.527841457881592;Grundschule;5;20;65601;Tischtennisplatte (Spielfläche);;Beton;20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8
107;LUDGERUSSCHULE ALBACHTEN;Schule;51.92300355264066;7.527841457881592;Grundschule;5;20;65601;Tischtennisplatte rund;;Beton;20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8
108;LUDGERUSSCHULE ALBACHTEN;Schule;51.92300355264066;7.527841457881592;Grundschule;5;20;65601;Tischtennisplatte (Fahrradständer);;Beton;20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8
109;LUDGERUSSCHULE ALBACHTEN;Schule;51.92300355264066;7.527841457881592;Grundschule;5;20;65601;Tischtennisplatte (Gebäude);;Beton;20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8
110;PRIMUSSCHULE BERG FIDEL;Schule;51.925042969999474;7.616445039849797;;;20;69101;"Tischtennisplatte (Wande ""Kamel"")";;Beton;20 69101 PRIMUSSCHULE BERG FIDEL, HOGENBERGSTRASSE 160
111;PRIMUSSCHULE BERG FIDEL;Schule;51.925042969999474;7.616445039849797;;;20;69101;Tischtennisplatte;;Beton;20 69101 PRIMUSSCHULE BERG FIDEL, HOGENBERGSTRASSE 160
112;HAUPTSCHULE HILTRUP;Schule;51.901465503300976;7.641326787521912;Hauptschule;65;20;69601;Tischtennisplatte;;Beton;20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199
113;HAUPTSCHULE HILTRUP;Schule;51.901465503300976;7.641326787521912;Hauptschule;65;20;69601;Tischtennisplatte;;Beton;20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199
114;HAUPTSCHULE HILTRUP;Schule;51.901465503300976;7.641326787521912;Hauptschule;65;20;69601;Tischtennisplatte;;Beton;20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199
115;HAUPTSCHULE HILTRUP;Schule;51.901465503300976;7.641326787521912;Hauptschule;65;20;69601;Tischtennisplatte;;Beton;20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199
116;HAUPTSCHULE HILTRUP;Schule;51.901465503300976;7.641326787521912;Hauptschule;65;20;69601;Tischtennisplatte;;Beton;20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199
117;CLEMENS-+PAUL-GERHARDT-SCHULE;Schule;51.90643504259296;7.646713479372256;Grundschule;42;20;69604;Tischtennisplatte rund;;Beton;20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE
118;CLEMENS-+PAUL-GERHARDT-SCHULE;Schule;51.90643504259296;7.646713479372256;Grundschule;42;20;69604;Tischtennisplatte (am Bauwerksgerüst);;Beton;20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE
119;CLEMENS-+PAUL-GERHARDT-SCHULE;Schule;51.90643504259296;7.646713479372256;Grundschule;42;20;69604;Tischtennisplatte (Schulhof Mitte);;Beton;20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE
120;CLEMENS-+PAUL-GERHARDT-SCHULE;Schule;51.90643504259296;7.646713479372256;Grundschule;42;20;69604;Tischtennisplatte (Johannesschule links);;Beton;20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE
121;CLEMENS-+PAUL-GERHARDT-SCHULE;Schule;51.90643504259296;7.646713479372256;Grundschule;42;20;69604;Tischtennisplatte (Johannesschule rechts);;Beton;20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE
122;LUDGERUSSCHULE HILTR;Schule;51.90364923934733;7.626570507326741;Grundschule;31;20;69701;Tischtennisplatte (rechts);;Beton;"20 69701 LUDGERUSSCHULE HILTR; A.D.ALTEN KIRCHE 161"
123;LUDGERUSSCHULE HILTR;Schule;51.90364923934733;7.626570507326741;Grundschule;31;20;69701;Tischtennisplatte (mitte);;Beton;"20 69701 LUDGERUSSCHULE HILTR; A.D.ALTEN KIRCHE 161"
124;LUDGERUSSCHULE HILTR;Schule;51.90364923934733;7.626570507326741;Grundschule;31;20;69701;Tischtennisplatte (links);;Beton;"20 69701 LUDGERUSSCHULE HILTR; A.D.ALTEN KIRCHE 161"
125;GRUNDSCHULE LOEVELINGLOH;Schule;51.89416340870317;7.57782883261359;Grundschule;37;20;69802;Tischtennisplatte;;Beton;20 69802 GRUNDSCHULE LOEVELINGLOH, WIEDAUSTRASSE 114
126;BETREUTER SPIELPLATZ SÜDPARK 'ABI';Sonstige;51.94911807317884;7.626656477579451;;;20;83301;Tischtennisplatte;;Beton;20 83301 BETREUTER SPIELPLATZ SÜDPARK 'ABI', DAHLWEG 3
127;SP STETTINER STRASSE;Spielplatz;51.97181148563841;7.6461656909960585;BC-0: BC-Bereich ohne Ballspielangebot;24601;30;24601;Tischtennisplatte;;Beton;30 24601 SP STETTINER STRASSE
128;SP VIVALDISTRASSE;Spielplatz;51.98029865513253;7.642616313434438;BC-0: BC-Bereich ohne Ballspielangebot;24605;30;24605;Tischtennisplatte;;Beton;30 24605 SP VIVALDISTRASSE
130;SP THOMAS-MORUS-SCHULE;Spielplatz;51.9744980388965;7.644832096479794;BC-0: BC-Bereich ohne Ballspielangebot;24607;30;24607;Tischtennisplatte (rechts);;Beton;30 24607 SP THOMAS-MORUS-SCHULE
