LfdNr;Objektname;Objekttyp;Lat;Lon;Objekttyp2;ObjektID;BezirkID;ObjektID2;PlatteBezeichnung;PlatteBaujahr;PlatteMaterial;PlatteID
13;SP TANNENBERGSTRASSE;Spielplatz;51.97374846813245;7.628548818755587;BC-1: BC-Bereich mit Ballspielangebot;22706;10;22706;Tischtennisplatte;;Stein;10 22706 SP TANNENBERGSTRASSE
14;SP SCHULSTRASSE;Spielplatz;51.96954424611485;7.614079399960718;BC-0: BC-Bereich ohne Ballspielangebot;22707;10;22707;Tischtennisplatte;2013;Beton;10 22707 SP SCHULSTRASSE
15;SP MELCHERSSTRASSE;Spielplatz;51.97134021849594;7.616247716857416;BC-0: BC-Bereich ohne Ballspielangebot;22708;10;22708;Tischtennisplatte;;Stein;10 22708 SP MELCHERSSTRASSE
16;SP WICHERNSTRASSE;Spielplatz;51.97327798930288;7.624319933175306;BC-0: BC-Bereich ohne Ballspielangebot;22709;10;22709;Tischtennisplatte;;Beton;10 22709 SP WICHERNSTRASSE
17;SP MARTIN-NIEMÖLLER-PARK;Spielplatz;51.972860868250045;7.616350998028483;ABC-0: ABC-Bereich ohne Ballspielangebot;22710;10;22710;Tischtennisplatte;;Stein;10 22710 SP MARTIN-NIEMÖLLER-PARK
18;SP ALTER ZOO;Spielplatz;51.961138804037944;7.612204331225958;ABC-1: ABC-Bereich mit Ballspielangebot;22901;10;22901;Tischtennisplatte rund;2023;Beton;10 22901 SP ALTER ZOO
19;SP WILHELMSTRASSE;Spielplatz;51.966983389809194;7.610519291095772;ABC-1: ABC-Bereich mit Ballspielangebot;22902;10;22902;Tischtennisplatte;;Sonstige;10 22902 SP WILHELMSTRASSE
20;SP HORSTMARER LANDWEG;Spielplatz;51.97014802706031;7.597931759588226;BC-1: BC-Bereich mit Ballspielangebot;25201;10;25201;Tischtennisplatte;;Beton;10 25201 SP HORSTMARER LANDWEG
21;SP AUF DEM DRAUN;Spielplatz;51.952768996576864;7.5930352945214326;BC-0: BC-Bereich ohne Ballspielangebot;25202;10;25202;Tischtennisplatte;;Beton;10 25202 SP AUF DEM DRAUN
22;VG STAUFENPLATZ;Öffentlicher Platz;51.963995;7.641744;;;10;52523;Tischtennisplatte;;Stein;10 52523 VG STAUFENPLATZ
23;ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM;Schule;51.95795472089719;7.624200250730548;Gymnasium;91;10;61101;Tischtennisplatte (rechts);;Stahl, verzinkt;10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38
24;ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM;Schule;51.95795472089719;7.624200250730548;Gymnasium;91;10;61101;Tischtennisplatte (links);;Stahl, verzinkt;10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38
25;ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM;Schule;51.95795472089719;7.624200250730548;Gymnasium;91;10;61101;Tischtennisplatte (rechts);;Stahl, verzinkt;10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38
26;ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM;Schule;51.95795472089719;7.624200250730548;Gymnasium;91;10;61101;Tischtennisplatte (links);;Beton;10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38
27;ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM;Schule;51.95795472089719;7.624200250730548;Gymnasium;91;10;61101;Tischtennisplatte (rechts);;Beton;10 61101 ANNETTE-VON-DROSTE-HÜLSHOFF-GYMNASIUM, Grüne Gasse 38
